"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"RTL1",0,"grey","ENSG00000254656.1","ENSG00000254656",388015
"RTN1",0,"grey","ENSG00000139970.16","ENSG00000139970",6252
"RTN2",0,"grey","ENSG00000125744.11","ENSG00000125744",6253
"RTN3",0,"grey","ENSG00000133318.13","ENSG00000133318",10313
"RTN4",0,"grey","ENSG00000115310.17","ENSG00000115310",57142
"RTN4IP1",0,"grey","ENSG00000130347.12","ENSG00000130347",84816
"RTN4R",0,"grey","ENSG00000040608.13","ENSG00000040608",65078
"RTN4RL1",0,"grey","ENSG00000185924.6","ENSG00000185924",146760
"RTN4RL2",0,"grey","ENSG00000186907.7","ENSG00000186907",349667
"RTP4",27,"white","ENSG00000136514.2","ENSG00000136514",64108
"RTP5",0,"grey","ENSG00000188011.5","ENSG00000188011",285093
"RTTN",0,"grey","ENSG00000176225.12","ENSG00000176225",25914
"RUFY1",0,"grey","ENSG00000176783.14","ENSG00000176783",80230
"RUFY2",0,"grey","ENSG00000204130.12","ENSG00000204130",55680
"RUFY3",0,"grey","ENSG00000018189.12","ENSG00000018189",22902
"RUFY4",0,"grey","ENSG00000188282.12","ENSG00000188282",285180
"RUNDC1",17,"grey60","ENSG00000198863.7","ENSG00000198863",146923
"RUNDC3A",0,"grey","ENSG00000108309.12","ENSG00000108309",10900
"RUNDC3A-AS1",0,"grey","ENSG00000267750.5","ENSG00000267750",NA
"RUNDC3B",0,"grey","ENSG00000105784.15","ENSG00000105784",154661
"RUNX1",0,"grey","ENSG00000159216.18","ENSG00000159216",861
"RUNX1T1",0,"grey","ENSG00000079102.16","ENSG00000079102",862
"RUNX2",0,"grey","ENSG00000124813.20","ENSG00000124813",860
"RUNX3",0,"grey","ENSG00000020633.18","ENSG00000020633",864
"RUSC1",0,"grey","ENSG00000160753.15","ENSG00000160753",23623
"RUSC1-AS1",0,"grey","ENSG00000225855.6","ENSG00000225855",284618
"RUSC2",0,"grey","ENSG00000198853.11","ENSG00000198853",9853
"RUVBL1",4,"yellow","ENSG00000175792.11","ENSG00000175792",8607
"RUVBL2",0,"grey","ENSG00000183207.12","ENSG00000183207",10856
"RWDD1",0,"grey","ENSG00000111832.12","ENSG00000111832",51389
"RWDD2A",0,"grey","ENSG00000013392.7","ENSG00000013392",112611
"RWDD2B",0,"grey","ENSG00000156253.6","ENSG00000156253",10069
"RWDD3",0,"grey","ENSG00000122481.16","ENSG00000122481",25950
"RWDD4",6,"red","ENSG00000182552.14","ENSG00000182552",201965
"RXFP1",0,"grey","ENSG00000171509.15","ENSG00000171509",59350
"RXFP4",0,"grey","ENSG00000173080.5","ENSG00000173080",339403
"RXRA",14,"cyan","ENSG00000186350.9","ENSG00000186350",6256
"RXRB",6,"red","ENSG00000204231.10","ENSG00000204231",6257
"RXRG",0,"grey","ENSG00000143171.12","ENSG00000143171",6258
"RYBP",0,"grey","ENSG00000163602.9","ENSG00000163602",23429
"RYK",0,"grey","ENSG00000163785.12","ENSG00000163785",6259
"RYR1",0,"grey","ENSG00000196218.11","ENSG00000196218",6261
"RYR2",0,"grey","ENSG00000198626.15","ENSG00000198626",6262
"RYR3",0,"grey","ENSG00000198838.11","ENSG00000198838",6263
"S100A1",0,"grey","ENSG00000160678.11","ENSG00000160678",6271
"S100A10",0,"grey","ENSG00000197747.8","ENSG00000197747",6281
"S100A11",0,"grey","ENSG00000163191.5","ENSG00000163191",6282
"S100A12",0,"grey","ENSG00000163221.8","ENSG00000163221",6283
"S100A13",0,"grey","ENSG00000189171.13","ENSG00000189171",6284
"S100A14",0,"grey","ENSG00000189334.8","ENSG00000189334",57402
"S100A16",0,"grey","ENSG00000188643.10","ENSG00000188643",140576
"S100A2",0,"grey","ENSG00000196754.10","ENSG00000196754",6273
"S100A3",0,"grey","ENSG00000188015.9","ENSG00000188015",6274
"S100A4",0,"grey","ENSG00000196154.11","ENSG00000196154",6275
"S100A5",0,"grey","ENSG00000196420.7","ENSG00000196420",6276
"S100A6",0,"grey","ENSG00000197956.9","ENSG00000197956",6277
"S100A8",3,"brown","ENSG00000143546.9","ENSG00000143546",6279
"S100A9",3,"brown","ENSG00000163220.10","ENSG00000163220",6280
"S100B",0,"grey","ENSG00000160307.9","ENSG00000160307",6285
"S100P",0,"grey","ENSG00000163993.6","ENSG00000163993",6286
"S100PBP",6,"red","ENSG00000116497.17","ENSG00000116497",64766
"S100Z",0,"grey","ENSG00000171643.13","ENSG00000171643",170591
"S1PR1",22,"darkgreen","ENSG00000170989.8","ENSG00000170989",1901
"S1PR2",0,"grey","ENSG00000267534.2","ENSG00000267534",9294
"S1PR3",0,"grey","ENSG00000213694.3","ENSG00000213694",1903
"S1PR4",0,"grey","ENSG00000125910.5","ENSG00000125910",8698
"S1PR5",0,"grey","ENSG00000180739.13","ENSG00000180739",53637
"SAA1",0,"grey","ENSG00000173432.10","ENSG00000173432",6288
"SAA2",0,"grey","ENSG00000134339.8","ENSG00000134339",6289
"SAAL1",0,"grey","ENSG00000166788.9","ENSG00000166788",113174
"SAC3D1",0,"grey","ENSG00000168061.13","ENSG00000168061",29901
"SACM1L",0,"grey","ENSG00000211456.10","ENSG00000211456",22908
"SACS",0,"grey","ENSG00000151835.13","ENSG00000151835",26278
"SACS-AS1",0,"grey","ENSG00000229558.2","ENSG00000229558",100506680
"SAE1",4,"yellow","ENSG00000142230.11","ENSG00000142230",10055
"SAFB",0,"grey","ENSG00000160633.12","ENSG00000160633",6294
"SAFB2",0,"grey","ENSG00000130254.11","ENSG00000130254",9667
"SAG",0,"grey","ENSG00000130561.16","ENSG00000130561",6295
"SALL1",0,"grey","ENSG00000103449.11","ENSG00000103449",6299
"SALL2",0,"grey","ENSG00000165821.11","ENSG00000165821",6297
"SALL4",0,"grey","ENSG00000101115.12","ENSG00000101115",57167
"SALRNA1",0,"grey","ENSG00000258952.2","ENSG00000258952",NA
"SALRNA2",0,"grey","ENSG00000280515.1","ENSG00000280515",104548973
"SAMD1",0,"grey","ENSG00000141858.11","ENSG00000141858",90378
"SAMD10",0,"grey","ENSG00000130590.13","ENSG00000130590",140700
"SAMD11",0,"grey","ENSG00000187634.10","ENSG00000187634",148398
"SAMD12",0,"grey","ENSG00000177570.13","ENSG00000177570",401474
"SAMD13",0,"grey","ENSG00000203943.8","ENSG00000203943",148418
"SAMD14",0,"grey","ENSG00000167100.14","ENSG00000167100",201191
"SAMD15",0,"grey","ENSG00000100583.4","ENSG00000100583",161394
"SAMD3",13,"salmon","ENSG00000164483.16","ENSG00000164483",154075
"SAMD4A",0,"grey","ENSG00000020577.13","ENSG00000020577",23034
"SAMD4B",0,"grey","ENSG00000179134.14","ENSG00000179134",55095
"SAMD5",0,"grey","ENSG00000203727.3","ENSG00000203727",389432
"SAMD8",17,"grey60","ENSG00000156671.12","ENSG00000156671",142891
"SAMD9",0,"grey","ENSG00000205413.7","ENSG00000205413",54809
"SAMD9L",0,"grey","ENSG00000177409.11","ENSG00000177409",219285
"SAMHD1",0,"grey","ENSG00000101347.8","ENSG00000101347",25939
"SAMM50",0,"grey","ENSG00000100347.14","ENSG00000100347",25813
"SAMSN1",3,"brown","ENSG00000155307.17","ENSG00000155307",64092
"SAP130",0,"grey","ENSG00000136715.17","ENSG00000136715",79595
"SAP18",0,"grey","ENSG00000150459.12","ENSG00000150459",10284
"SAP25",0,"grey","ENSG00000205307.10","ENSG00000205307",100316904
"SAP30",4,"yellow","ENSG00000164105.3","ENSG00000164105",8819
"SAP30BP",0,"grey","ENSG00000161526.14","ENSG00000161526",29115
"SAP30L",0,"grey","ENSG00000164576.11","ENSG00000164576",79685
"SAP30L-AS1",0,"grey","ENSG00000245275.7","ENSG00000245275",386627
"SAPCD1",0,"grey","ENSG00000228727.8","ENSG00000228727",401251
"SAPCD1-AS1",0,"grey","ENSG00000235663.1","ENSG00000235663",NA
"SAPCD2",4,"yellow","ENSG00000186193.8","ENSG00000186193",89958
"SAR1A",17,"grey60","ENSG00000079332.14","ENSG00000079332",56681
"SAR1B",0,"grey","ENSG00000152700.13","ENSG00000152700",51128
"SARAF",0,"grey","ENSG00000133872.13","ENSG00000133872",51669
"SARDH",0,"grey","ENSG00000123453.16","ENSG00000123453",1757
"SARM1",0,"grey","ENSG00000004139.13","ENSG00000004139",23098
"SARNP",0,"grey","ENSG00000205323.8","ENSG00000205323",84324
"SARS",0,"grey","ENSG00000031698.12","ENSG00000031698",6301
"SARS2",0,"grey","ENSG00000104835.14","ENSG00000104835",54938
"SART1",0,"grey","ENSG00000175467.14","ENSG00000175467",9092
"SART3",6,"red","ENSG00000075856.11","ENSG00000075856",9733
"SASH1",14,"cyan","ENSG00000111961.16","ENSG00000111961",23328
"SASH3",3,"brown","ENSG00000122122.9","ENSG00000122122",54440
"SASS6",4,"yellow","ENSG00000156876.9","ENSG00000156876",163786
"SAT1",3,"brown","ENSG00000130066.16","ENSG00000130066",6303
"SAT2",0,"grey","ENSG00000141504.11","ENSG00000141504",112483
"SATB1",0,"grey","ENSG00000182568.16","ENSG00000182568",6304
"SATB1-AS1",0,"grey","ENSG00000228956.8","ENSG00000228956",NA
"SATB2",0,"grey","ENSG00000119042.16","ENSG00000119042",23314
"SATL1",0,"grey","ENSG00000184788.12","ENSG00000184788",340562
"SAV1",0,"grey","ENSG00000151748.14","ENSG00000151748",60485
"SAXO1",0,"grey","ENSG00000155875.13","ENSG00000155875",158297
"SAXO2",0,"grey","ENSG00000188659.9","ENSG00000188659",283726
"SAYSD1",0,"grey","ENSG00000112167.9","ENSG00000112167",55776
